country,date,lineage,n
South Korea,2022-06-23,BG.2,1
South Korea,2022-06-23,BA.5.3.1,1
South Korea,2022-06-23,BA.5.2.20,1
South Korea,2022-06-23,BA.2.12.1,1
South Korea,2022-06-23,BA.2.3.14,2
South Korea,2022-06-23,BA.5.1.3,1
United Kingdom,2021-02-04,B.1.1,2
South Korea,2022-06-23,BA.5.1,4
South Korea,2022-06-23,BF.21,1
United Kingdom,2020-04-17,B.1.1.83,12
South Korea,2022-06-23,BA.5.1.1,1
South Korea,2022-06-23,BA.2.3.2,1
South Korea,2022-06-23,BA.5.2.22,1
United Kingdom,2020-08-18,B.1.1.70,9
South Korea,2022-06-22,BA.4,4
South Korea,2022-06-22,BA.2.38,1
United Kingdom,2021-09-01,AY.34.1,1
South Korea,2022-06-22,BA.4.6,1
United Kingdom,2021-02-22,B.1.177.5,1
United Kingdom,2021-02-27,B.1.1,2
United Kingdom,2021-03-01,B.1.258,1
United Kingdom,2021-02-21,B.1.177,29
United Kingdom,2021-02-22,B.1.36,2
United Kingdom,2021-02-19,B.1.177.8,2
South Korea,2022-06-22,BA.2.68,4
United Kingdom,2021-02-26,B.1.1.420,1
South Korea,2022-06-22,BA.4.2,2
United Kingdom,2021-03-06,B.1.1.354,1
United Kingdom,2021-03-06,B.1.1.153,3
United Kingdom,2021-03-03,C.17,1
United Kingdom,2021-03-06,B.1.36.31,1
South Korea,2022-06-22,BA.2.3.14,4
United Kingdom,2021-03-05,B.1.1.317,1
South Korea,2022-06-22,BA.5.5,4
United Kingdom,2021-03-06,B.1.1.318,3
South Korea,2022-06-22,BE.1.1,2
South Korea,2022-06-22,BA.2.10,1
United Kingdom,2021-03-06,B.1.408,2
United Kingdom,2021-02-20,Q.1,3
United Kingdom,2021-03-05,B.1.218,1
United Kingdom,2021-03-03,B.1.36.31,1
United Kingdom,2021-03-04,B.1.1.420,1
United Kingdom,2021-02-20,B.1.1.318,4
United Kingdom,2021-03-03,B.1.258,1
United Kingdom,2021-03-06,B.1.160,1
South Korea,2022-06-22,BA.5.1.24,2
United Kingdom,2021-03-04,B.1.620,2
United Kingdom,2021-03-02,C.17,4
United Kingdom,2021-03-06,B.1.221,1
United Kingdom,2021-03-07,A.29,1
United Kingdom,2021-03-07,B.1.1.294,1
United Kingdom,2021-03-07,B.1.1.70,1
United Kingdom,2021-03-04,A.23.1,1
United Kingdom,2021-03-05,B.1.441,1
United Kingdom,2021-03-04,B.1.466.1,2
United Kingdom,2021-03-04,R.1,1
United Kingdom,2021-03-05,P.3,1
United Kingdom,2021-06-01,P.1.16,1
United Kingdom,2021-03-05,C.17,2
United Kingdom,2021-03-05,B.1.525,7
United Kingdom,2021-03-04,A.27,1
United Kingdom,2021-03-05,B.1.2,1
South Korea,2022-06-22,BA.2.3.13,1
South Korea,2022-06-22,BA.2.13,1
United Kingdom,2021-03-04,L.3,1
United Kingdom,2021-03-08,B.1.177.4,1
South Korea,2022-06-21,BA.5.5,1
South Korea,2022-06-21,BA.2.10,1
South Korea,2022-06-21,BA.2.12.1,6
South Korea,2022-06-21,BA.2,14
South Korea,2022-06-21,BA.2.3.14,4
South Korea,2022-06-21,BA.2.65,1
South Korea,2022-06-21,BA.2.3,8
South Korea,2022-06-21,BA.5.2,8
South Korea,2022-06-21,BA.5.1,3
South Korea,2022-06-21,BA.5.1.1,1
South Korea,2022-06-21,BE.1.1,2
South Korea,2022-06-21,BA.2.3.12,1
South Korea,2022-06-21,BA.2.68,3
South Korea,2022-06-20,BA.5.2.1,3
South Korea,2022-06-20,BA.2,14
South Korea,2022-06-20,BA.2.68,5
South Korea,2022-06-20,BA.2.3,14
South Korea,2022-06-20,BA.2.3.14,3
South Korea,2022-06-20,BA.5.1,3
South Korea,2022-06-20,BA.5.1.2,1
South Korea,2022-06-20,BA.5.2,7
South Korea,2022-06-20,BA.4.1,2
South Korea,2022-06-20,BE.1.3,1
South Korea,2022-06-20,BA.2.3.12,1
United Kingdom,2021-03-08,B.1.2,1
South Korea,2022-06-19,BA.2,13
South Korea,2022-06-19,BA.5.2.1,2
South Korea,2022-06-19,BA.2.3.14,4
South Korea,2022-06-19,BA.2.10,1
United Kingdom,2021-06-04,AY.65,1
United Kingdom,2021-05-24,Q.1,1
South Korea,2022-06-19,BA.2.3.12,1
South Korea,2022-06-19,BA.2.12.1,6
South Korea,2022-06-19,BA.2.68,2
