"country","lineage","days_above_10","days_above_10_cat"
"Sweden","B.1",47,"31–100"
"Sweden","B.1.1",192,"100+"
"Sweden","B.1.1.261",31,"31–100"
"Sweden","B.1.1.438",5,"<30"
"Sweden","B.1.1.458",10,"<30"
"Sweden","B.1.1.90",6,"<30"
"Sweden","B.1.160",89,"31–100"
"Sweden","B.1.221",45,"31–100"
"Sweden","B.1.258",62,"31–100"
"Sweden","B.1.258.17",1,"<30"
"Sweden","B.1.342",7,"<30"
"Sweden","B.1.351",18,"<30"
"Sweden","B.1.555",11,"<30"
"Sweden","BA.1 (BA.1)",61,"31–100"
"Sweden","BA.1.1 (BA.1.1)",73,"31–100"
"Sweden","BA.1.13 (BA.1.13)",8,"<30"
"Sweden","BA.1.15 (BA.1.15)",29,"<30"
"Sweden","BA.1.17 (BA.1.17)",9,"<30"
"Sweden","BA.1.18 (BA.1.18)",21,"<30"
"Sweden","BA.2 (BA.2)",184,"100+"
"Sweden","BA.2.65 (BA.2.65)",21,"<30"
"Sweden","BA.2.9 (BA.2.9)",156,"100+"
"Sweden","BA.4 (BA.4)",45,"31–100"
"Sweden","BA.4.1 (BA.4.1)",21,"<30"
"Sweden","BA.5 (BA.5)",34,"31–100"
"Sweden","BA.5.1 (BA.5.1)",179,"100+"
"Sweden","BA.5.1.24 (BA.5.1.24)",4,"<30"
"Sweden","BA.5.1.30 (BA.5.1.30)",21,"<30"
"Sweden","BA.5.1.5 (BA.5.1.5)",6,"<30"
"Sweden","BA.5.2 (BA.5.2)",162,"100+"
"Sweden","BC (BA.1.1.1)",0,"<30"
"Sweden","BD (BA.1.17.2)",22,"<30"
"Sweden","BE.1",9,"<30"
"Sweden","BE.1.1",80,"31–100"
"Sweden","BF (BA.5.2.1)",146,"100+"
"Sweden","BF.26",3,"<30"
"Sweden","BF.5",7,"<30"
"Sweden","BF.7",122,"100+"
"Sweden","BG (BA.2.12.1)",30,"<30"
"Sweden","BN.1",2,"<30"
"Sweden","BQ.1",117,"100+"
"Sweden","BQ.1.1",147,"100+"
"Sweden","BQ.1.1.10",21,"<30"
"Sweden","BV (BA.5.2.20)",4,"<30"
"Sweden","BZ (BA.5.2.3)",1,"<30"
"Sweden","CH.1",25,"<30"
"Sweden","CH.1.1.1",83,"31–100"
"Sweden","DE (BA.5.1.23)",5,"<30"
"Sweden","DH (BA.5.1.22)",0,"<30"
"Sweden","EG.1",96,"31–100"
"Sweden","EG.5.1",127,"100+"
"Sweden","EG.5.1.1",132,"100+"
"Sweden","EG.5.1.3",91,"31–100"
"Sweden","G2 (B.1.258.22)",18,"<30"
"Sweden","HK.3",99,"31–100"
"Sweden","HV.1",68,"31–100"
"Sweden","JG.3",55,"31–100"
"Sweden","JN.1",215,"100+"
"Sweden","JN.1.4",111,"100+"
"Sweden","JN.2",114,"100+"
"Sweden","Q (B.1.1.7)",269,"100+"
"Sweden","QB.1.177.21 (B.1.177.21)",17,"<30"
"Sweden","QB.1.177.35 (B.1.177.35)",7,"<30"
"Sweden","QB.1.177.82 (B.1.177.82)",61,"31–100"
"Sweden","QB.1.177.86 (B.1.177.86)",19,"<30"
"Sweden","XBB",1,"<30"
"Sweden","XBB.1",24,"<30"
"Sweden","XBB.1.16",184,"100+"
"Sweden","XBB.1.4.1",32,"31–100"
"Sweden","XBB.1.5",193,"100+"
"Sweden","XBB.1.9",105,"100+"
"Sweden","XBF",33,"31–100"
"United Kingdom","A",38,"31–100"
"United Kingdom","AD.2",54,"31–100"
"United Kingdom","AY (B.1.617.2)",17,"<30"
"United Kingdom","AY.120",0,"<30"
"United Kingdom","AY.4",238,"100+"
"United Kingdom","AY.4.2",91,"31–100"
"United Kingdom","AY.4.2.1",0,"<30"
"United Kingdom","AY.4.2.2",21,"<30"
"United Kingdom","AY.43",21,"<30"
"United Kingdom","AY.46",0,"<30"
"United Kingdom","AY.5",53,"31–100"
"United Kingdom","AY.6",3,"<30"
"United Kingdom","AY.9",24,"<30"
"United Kingdom","AY.98",6,"<30"
"United Kingdom","B.1",164,"100+"
"United Kingdom","B.1.1",238,"100+"
"United Kingdom","B.1.1.301",22,"<30"
"United Kingdom","B.1.1.369",72,"31–100"
"United Kingdom","B.1.1.37",74,"31–100"
"United Kingdom","B.1.1.372",10,"<30"
"United Kingdom","B.1.1.83",3,"<30"
"United Kingdom","B.1.13",0,"<30"
"United Kingdom","B.1.142",4,"<30"
"United Kingdom","B.1.222",2,"<30"
"United Kingdom","B.1.36",42,"31–100"
"United Kingdom","B.1.391",0,"<30"
"United Kingdom","B.1.93",12,"<30"
"United Kingdom","B.23",0,"<30"
"United Kingdom","B.28",0,"<30"
"United Kingdom","B.3",13,"<30"
"United Kingdom","B.3.1",4,"<30"
"United Kingdom","B.39",1,"<30"
"United Kingdom","B.45",0,"<30"
"United Kingdom","BA.1 (BA.1)",80,"31–100"
"United Kingdom","BA.1.1 (BA.1.1)",98,"31–100"
"United Kingdom","BA.1.15 (BA.1.15)",0,"<30"
"United Kingdom","BA.1.15.1 (BA.1.15.1)",39,"31–100"
"United Kingdom","BA.1.16 (BA.1.16)",0,"<30"
"United Kingdom","BA.2 (BA.2)",151,"100+"
"United Kingdom","BA.2.10 (BA.2.10)",0,"<30"
"United Kingdom","BA.2.18 (BA.2.18)",4,"<30"
"United Kingdom","BA.2.23 (BA.2.23)",37,"31–100"
"United Kingdom","BA.2.3 (BA.2.3)",52,"31–100"
"United Kingdom","BA.2.9 (BA.2.9)",76,"31–100"
"United Kingdom","BA.4 (BA.4)",65,"31–100"
"United Kingdom","BA.4.1 (BA.4.1)",41,"31–100"
"United Kingdom","BA.4.6 (BA.4.6)",28,"<30"
"United Kingdom","BA.5 (BA.5)",40,"31–100"
"United Kingdom","BA.5.1 (BA.5.1)",163,"100+"
"United Kingdom","BA.5.2 (BA.5.2)",161,"100+"
"United Kingdom","BA.5.3.3 (BA.5.3.3)",0,"<30"
"United Kingdom","BC5 (BA.1.1.15)",0,"<30"
"United Kingdom","BD (BA.1.17.2)",72,"31–100"
"United Kingdom","BE.1",23,"<30"
"United Kingdom","BE.1.1",16,"<30"
"United Kingdom","BF (BA.5.2.1)",154,"100+"
"United Kingdom","BF.1",34,"31–100"
"United Kingdom","BF.5",1,"<30"
"United Kingdom","BG (BA.2.12.1)",39,"31–100"
"United Kingdom","BN.1",25,"<30"
"United Kingdom","BQ.1",82,"31–100"
"United Kingdom","BQ.1.1",160,"100+"
"United Kingdom","BQ.1.8",22,"<30"
"United Kingdom","BZ (BA.5.2.3)",7,"<30"
"United Kingdom","C (B.1.1.1)",115,"100+"
"United Kingdom","CH.1.1",98,"31–100"
"United Kingdom","CH.1.1.1",62,"31–100"
"United Kingdom","DH (BA.5.1.22)",0,"<30"
"United Kingdom","DV.6",9,"<30"
"United Kingdom","EG.5.1",137,"100+"
"United Kingdom","EG.5.1.1",111,"100+"
"United Kingdom","EM (XBB.1.5.7)",43,"31–100"
"United Kingdom","FL (XBB.1.9.1)",32,"31–100"
"United Kingdom","FL.3",92,"31–100"
"United Kingdom","HJ8 (XBB.1.5.18)",12,"<30"
"United Kingdom","JN.1",234,"100+"
"United Kingdom","JN.1.4",140,"100+"
"United Kingdom","L (B.1.1.10)",2,"<30"
"United Kingdom","P9 (B.1.1.289)",7,"<30"
"United Kingdom","Q (B.1.1.7)",325,"100+"
"United Kingdom","QB.1.177.4 (B.1.177.4)",26,"<30"
"United Kingdom","QB.1.177.57 (B.1.177.57)",3,"<30"
"United Kingdom","QB.1.177.7 (B.1.177.7)",45,"31–100"
"United Kingdom","XBB",0,"<30"
"United Kingdom","XBB.1",0,"<30"
"United Kingdom","XBB.1.16",221,"100+"
"United Kingdom","XBB.1.5",198,"100+"
"United States","A",201,"100+"
"United States","A.3",0,"<30"
"United States","AY (B.1.617.2)",10,"<30"
"United States","AY.100",104,"100+"
"United States","AY.103",183,"100+"
"United States","AY.118",0,"<30"
"United States","AY.119",0,"<30"
"United States","AY.122",0,"<30"
"United States","AY.20",0,"<30"
"United States","AY.25",172,"100+"
"United States","AY.25.1",33,"31–100"
"United States","AY.26",0,"<30"
"United States","AY.3",181,"100+"
"United States","AY.39",25,"<30"
"United States","AY.44",201,"100+"
"United States","AY.47",0,"<30"
"United States","AY.75",0,"<30"
"United States","B",176,"100+"
"United States","B.1.1",326,"100+"
"United States","B.1.1.222",1,"<30"
"United States","B.1.1.291",21,"<30"
"United States","B.1.1.519",12,"<30"
"United States","B.1.2",290,"100+"
"United States","B.1.206",7,"<30"
"United States","B.1.234",17,"<30"
"United States","B.1.240",54,"31–100"
"United States","B.1.243",69,"31–100"
"United States","B.1.289",0,"<30"
"United States","B.1.311",1,"<30"
"United States","B.1.320",2,"<30"
"United States","B.1.332",0,"<30"
"United States","B.1.369",81,"31–100"
"United States","B.1.371",2,"<30"
"United States","B.1.384",0,"<30"
"United States","B.1.426",15,"<30"
"United States","B.1.427",62,"31–100"
"United States","B.1.429",114,"100+"
"United States","B.1.516",1,"<30"
"United States","B.1.526",103,"100+"
"United States","B.1.595",24,"<30"
"United States","BA.1 (BA.1)",73,"31–100"
"United States","BA.1.1 (BA.1.1)",122,"100+"
"United States","BA.1.15 (BA.1.15)",86,"31–100"
"United States","BA.1.18 (BA.1.18)",1,"<30"
"United States","BA.1.20 (BA.1.20)",4,"<30"
"United States","BA.2 (BA.2)",121,"100+"
"United States","BA.2.3 (BA.2.3)",72,"31–100"
"United States","BA.2.9 (BA.2.9)",52,"31–100"
"United States","BA.4 (BA.4)",0,"<30"
"United States","BA.4.1 (BA.4.1)",55,"31–100"
"United States","BA.4.6 (BA.4.6)",92,"31–100"
"United States","BA.5 (BA.5)",0,"<30"
"United States","BA.5.1 (BA.5.1)",147,"100+"
"United States","BA.5.1.1 (BA.5.1.1)",0,"<30"
"United States","BA.5.2 (BA.5.2)",158,"100+"
"United States","BA.5.2.9 (BA.5.2.9)",0,"<30"
"United States","BA.5.5 (BA.5.5)",91,"31–100"
"United States","BA.5.6 (BA.5.6)",58,"31–100"
"United States","BC8 (BA.1.1.18)",71,"31–100"
"United States","BD (BA.1.17.2)",0,"<30"
"United States","BE.1",0,"<30"
"United States","BF (BA.5.2.1)",159,"100+"
"United States","BF.10",0,"<30"
"United States","BF.7",26,"<30"
"United States","BG (BA.2.12.1)",120,"100+"
"United States","BN.1",0,"<30"
"United States","BQ.1",100,"31–100"
"United States","BQ.1.1",147,"100+"
"United States","EG.5.1",163,"100+"
"United States","EG.5.1.1",95,"31–100"
"United States","FL.1.5.1",108,"100+"
"United States","HV.1",134,"100+"
"United States","JF (XBB.1.16.6)",101,"100+"
"United States","JN.1",238,"100+"
"United States","JN.1.4",168,"100+"
"United States","P.1",83,"31–100"
"United States","Q (B.1.1.7)",159,"100+"
"United States","XBB",0,"<30"
"United States","XBB.1.16",212,"100+"
"United States","XBB.1.5",269,"100+"
