"country","lineage","slope_log","slope_y_1_7","peak_val","auc_norm","longest_inc_run","zero_count","c22_DN_HistogramMode_5","c22_DN_HistogramMode_10","c22_CO_f1ecac","c22_CO_FirstMin_ac","c22_CO_HistogramAMI_even_2_5","c22_CO_trev_1_num","c22_MD_hrv_classic_pnn40","c22_SB_BinaryStats_mean_longstretch1","c22_SB_TransitionMatrix_3ac_sumdiagcov","c22_PD_PeriodicityWang_th0_01","c22_CO_Embed2_Dist_tau_d_expfit_meandiff","c22_IN_AutoMutualInfoStats_40_gaussian_fmmi","c22_FC_LocalSimple_mean1_tauresrat","c22_DN_OutlierInclude_p_001_mdrmd","c22_DN_OutlierInclude_n_001_mdrmd","c22_SP_Summaries_welch_rect_area_5_1","c22_SB_BinaryStats_diff_longstretch0","c22_SB_MotifThree_quantile_hh","c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","c22_SP_Summaries_welch_rect_centroid","c22_FC_LocalSimple_mean3_stderr"
"Australia","A",-0.118034936783399,-0.00783879341210169,0.178571428571429,0.0475324098726605,3,4,-0.56631903571931,-0.736710761567488,1.78681152498197,1,0.501772043112432,-0.529594593990453,1,7,0.0740740740740741,4,0.102696176361747,3,0.125,-0.714285714285714,0.321428571428571,0.5278072999968,4,1.87716675715261,0,0,0.39269908169875,0.558938823839343
"Australia","AU (B.1.466.2)",0.114540288744066,-0.00824175824175824,0.454545454545455,0.0350524475524476,1,24,0.102032605668414,-0.120895776464256,1.92795511943286,9,0.00481466824484693,2.96759332238117,0.185185185185185,2,0.140039447731755,0,0.0630184767282416,1,0.5,0.928571428571429,-0.0357142857142857,0.217667274302669,2,0.674521210592376,0,0,1.17809724509625,1.01931838116241
"Australia","AY (B.1.617.2)",0.203984512198698,-0.00892857142857143,0.4,0.0405483405483405,2,22,-0.00576794904703093,-0.216146301130844,1.9460886377879,7,0.111144383066547,-1.48479717546509,0.259259259259259,3,0.140039447731755,8,0.162683822660342,1,0.5,0.607142857142857,-0.107142857142857,0.158119778636854,2,0.852019419362702,0,0,1.17809724509625,1.13460373651118
"Australia","AY.39",0.0042847383879229,-0.0139896867838044,0.25,0.0206716736655507,2,18,0.0858702508175608,-0.162118937676952,1.65052592414956,3,0.0205980635564427,-4.34321828733188,0.518518518518518,4,0.0670611439842209,4,0.0458756810895915,3,0.5,-0.571428571428571,0.0714285714285714,0.139255388010823,4,1.43537221712824,0,0,1.37444678594563,0.648818118022115
"Australia","AY.39.1.2",0.116025709541649,-0.00255102040816327,0.0238095238095238,0.00213678865310297,1,24,0.0409979080695304,-0.158896784913736,1.74566203559772,24,0.0596613979030987,-1.39385047878568,0.148148148148148,2,0.181069958847737,0,0.143419640233711,2,0.333333333333333,-0.0357142857142857,-0.0357142857142857,0.252315235731088,2,0.57351607609728,0,0,1.17809724509625,0.716274107468668
"Australia","AY.39.1.3",0.0734223259887829,0.0152575375094801,0.313207547169811,0.153350568713777,3,0,0.947241054360546,0.750146382627028,5.04039310858154,11,0.689570172351392,0.084459223613882,0.888888888888889,9,0.166666666666667,4,0.247570173721009,7,0.1,0.428571428571429,-0.785714285714286,0.672325176213009,4,1.67286403834734,0,0,0.196349540849375,0.670376526047226
"Australia","AY.39.1.4",0.124158442603662,0.00882094102801908,0.153846153846154,0.0512401188013152,3,1,-0.98603263155924,-0.774492821102225,1.86679355012217,1,0.43889084299825,0.088434595205019,0.962962962962963,6,0.0576131687242798,5,0.0961036835313148,2,0.333333333333333,0.357142857142857,-0.607142857142857,0.294982569404081,4,1.98415636061009,0,0,0.7853981633975,1.06329800633554
"Australia","B.1.1.416",0.193771638562391,-0.0285714285714286,0.25,0.0630349902505475,2,14,-0.487878961647794,-0.648217822797092,1.71241243478709,1,0.337376647747767,-0.857902587402335,0.777777777777778,6,0.0555555555555556,6,0.146583248805337,3,0.25,0.428571428571429,-0.214285714285714,0.217104306194341,3,1.86142517796796,0,0,1.37444678594563,0.952943426189353
"Australia","B.1.160",-0.0867197809082693,-0.0133928571428571,0.125,0.00446428571428571,0,27,0.340168025708304,0.0755928946018454,1.63128552506524,28,0,-5.48748420072655,0.037037037037037,1,0.297668038408779,0,0.12741567111348,14,1,-0.928571428571429,0.0714285714285714,0.151623664984038,1,0.158410570131791,0,0,1.570796326795,0.352766841475279
"Australia","B.1.2",-0.0365083720509243,-0.00118793026192513,0.0571428571428571,0.00993490981695417,2,15,-0.291295031166167,-0.488486606955024,1.89827600553063,2,0.150863395783434,-0.149412805190759,0.666666666666667,4,0.0729783037475345,6,0.147554995572046,2,0.5,0.285714285714286,-0.0714285714285714,0.12181717439625,3,1.84460937520046,0,0,1.17809724509625,1.19541366626203
