"country","lineage","peak_share","peak_share_logit","peak_share_cat"
"Australia","HK.3",0.310820480346311,-0.796286276194832,">0.20"
"Australia","HV.1",0.142395516183833,-1.79553450762424,"0.10–0.20"
"Australia","JN.1",0.761856518332165,1.16288488563223,">0.20"
"Australia","Q (B.1.1.7)",0.661904761904762,0.671794056089376,">0.20"
"Australia","QB.1.177.57 (B.1.177.57)",0.100396825396825,-2.19282316178001,"0.10–0.20"
"Australia","XBB",0.0448158809069002,-3.05934155562491,"<0.10"
"Australia","XBB.1.16",0.266226905213913,-1.01385087337276,">0.20"
"Australia","XBB.1.5",0.304349092460802,-0.826672591836428,">0.20"
"Australia","XBB.1.9",0.0643442311421511,-2.67700035863709,"0.10–0.20"
"Australia","XBC.1",0.0405401873308013,-3.16407666905209,"<0.10"
"Australia","XBC.1.3",0.0836522210884283,-2.39372798467481,"0.10–0.20"
"Australia","XBC.1.6",0.237303428712097,-1.16752066148033,">0.20"
"Australia","XBF",0.353431083767395,-0.603991279149608,">0.20"
"Austria","AY (B.1.617.2)",0.852628380426004,1.75536636968134,">0.20"
"Austria","AY.122",0.607042114900308,0.434895727165282,">0.20"
"Austria","AY.34",0.0929863069993204,-2.27770530127864,"0.10–0.20"
"Austria","AY.4",0.176584667228222,-1.539660268091,"0.10–0.20"
"Austria","AY.41",0.131518128618969,-1.88760200964521,"0.10–0.20"
"Austria","AY.43",0.240508702488361,-1.14989258991538,">0.20"
"Austria","AY.46.6",0.0490067008469301,-2.96554997567534,"<0.10"
"Austria","AY.9",0.16877529816574,-1.59433192405061,"0.10–0.20"
"Austria","B.1",0.0229166666666667,-3.75270749564791,"<0.10"
"Austria","B.1.351",0.354343404229307,-0.600001265580839,">0.20"
"Austria","BA.1 (BA.1)",0.127193950188034,-1.92600027763331,"0.10–0.20"
"Austria","BA.1.1 (BA.1.1)",0.191853721719613,-1.43800986399484,"0.10–0.20"
"Austria","BA.2 (BA.2)",0.551009936622976,0.204752085854865,">0.20"
"Austria","BA.2.9 (BA.2.9)",0.125551249415684,-1.94087965139966,"0.10–0.20"
"Austria","BA.4 (BA.4)",0.0508007497014758,-2.92770762235813,"0.10–0.20"
"Austria","BA.5 (BA.5)",0.0974491931198392,-2.22589383835537,"0.10–0.20"
"Austria","BA.5.1 (BA.5.1)",0.109630875088088,-2.09451708198437,"0.10–0.20"
"Austria","BA.5.2 (BA.5.2)",0.112121317315847,-2.06925363967225,"0.10–0.20"
"Austria","BD (BA.1.17.2)",0.0406347826038351,-3.16164741965511,"<0.10"
"Austria","BE.1.1",0.0434250429352626,-3.09232285094604,"<0.10"
"Austria","BF (BA.5.2.1)",0.0456142068730575,-3.04084876278269,"<0.10"
"Austria","BF.14",0.0389698727982597,-3.20521690307325,"<0.10"
"Austria","BF.7",0.0772178579810331,-2.48076242288265,"0.10–0.20"
"Austria","BG (BA.2.12.1)",0.0444566998073002,-3.06776440201823,"<0.10"
"Austria","BN.1",0.0223243080711874,-3.7795018788671,"<0.10"
"Austria","BQ.1",0.0653305263018727,-2.66073355785308,"0.10–0.20"
"Austria","BQ.1.1",0.205668109058267,-1.35123762411524,">0.20"
"Austria","CH.1.1",0.0517602823186477,-2.90798423248551,"0.10–0.20"
"Austria","EG.1.2",0.0865541663706377,-2.35645365986259,"0.10–0.20"
"Austria","Q (B.1.1.7)",0.913047835357577,2.3514301370779,">0.20"
"Austria","QB.1.177.81 (B.1.177.81)",0.042096249794182,-3.12478864521208,"<0.10"
"Austria","QB.1.177.86 (B.1.177.86)",0.0228539025210582,-3.75551428626396,"<0.10"
"Austria","R.1",0.0512397802561737,-2.91863991195219,"0.10–0.20"
"Austria","XBB",0.0261551071773844,-3.61720756875369,"<0.10"
"Austria","XBB.1.5",0.565089496601868,0.26184384906076,">0.20"
"Austria","XBB.1.9",0.157639021837628,-1.67590089025905,"0.10–0.20"
"Brazil","AY.101",0.109536191005527,-2.09548745456916,"0.10–0.20"
"Brazil","AY.34.1.1",0.0802203180212019,-2.43935734055703,"0.10–0.20"
"Brazil","AY.43",0.136425519380655,-1.84530132805995,"0.10–0.20"
"Brazil","AY.43.2",0.0565477375654002,-2.81446057319827,"0.10–0.20"
"Brazil","AY.46.3",0.0448245007206092,-3.0591402114607,"<0.10"
"Brazil","AY.99.1",0.0378177644283499,-3.23642491613988,"<0.10"
"Brazil","AY.99.2",0.597117581398999,0.393469293650066,">0.20"
"Brazil","B",0.0904775093383185,-2.30781842203034,"0.10–0.20"
"Brazil","B.1.1",0.132482623821565,-1.87918404594006,"0.10–0.20"
"Brazil","B.1.91",0.0312521205910805,-3.43391715887324,"<0.10"
"Brazil","BA.1 (BA.1)",0.426025359207755,-0.298086342384848,">0.20"
"Brazil","BA.1.1 (BA.1.1)",0.416001652337403,-0.33920892126107,">0.20"
"Brazil","BA.1.14 (BA.1.14)",0.0612911466380338,-2.72886996508636,"0.10–0.20"
"Brazil","BA.1.14.1 (BA.1.14.1)",0.14559176478285,-1.7696025331507,"0.10–0.20"
"Brazil","BA.1.14.2 (BA.1.14.2)",0.0248521241916227,-3.66964589755568,"<0.10"
"Brazil","BA.1.15 (BA.1.15)",0.0650416473684855,-2.665474192194,"0.10–0.20"
"Brazil","BA.1.9 (BA.1.9)",0.0304581291512044,-3.46047073611019,"<0.10"
"Brazil","BA.2 (BA.2)",0.703984111244153,0.866342655535242,">0.20"
