"country","lineage","slope_log","slope_y_1_7","peak_val","auc_norm","longest_inc_run","zero_count","c22_DN_HistogramMode_5","c22_DN_HistogramMode_10","c22_CO_f1ecac","c22_CO_FirstMin_ac","c22_CO_HistogramAMI_even_2_5","c22_CO_trev_1_num","c22_MD_hrv_classic_pnn40","c22_SB_BinaryStats_mean_longstretch1","c22_SB_TransitionMatrix_3ac_sumdiagcov","c22_PD_PeriodicityWang_th0_01","c22_CO_Embed2_Dist_tau_d_expfit_meandiff","c22_IN_AutoMutualInfoStats_40_gaussian_fmmi","c22_FC_LocalSimple_mean1_tauresrat","c22_DN_OutlierInclude_p_001_mdrmd","c22_DN_OutlierInclude_n_001_mdrmd","c22_SP_Summaries_welch_rect_area_5_1","c22_SB_BinaryStats_diff_longstretch0","c22_SB_MotifThree_quantile_hh","c22_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1","c22_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1","c22_SP_Summaries_welch_rect_centroid","c22_FC_LocalSimple_mean3_stderr"
"Australia","A",-0.0793017858935699,-0.00783879341210169,0.178571428571429,0.0570238088206136,2,2,-0.685952532996666,-0.842324693782126,1.71701798394292,1,0.645803641478587,-0.550017024282877,1,5,0.0740740740740741,4,0.0805072543271414,3,0.166666666666667,-0.619047619047619,0.476190476190476,0.468812506763716,4,2.12862074618514,0,0,0.589048622548125,0.564020972794279
"Australia","A.2.2",0.0436537873241261,0.0240118860575945,0.278947368421053,0.14349565469543,2,0,-0.687294822090213,-0.071014374358867,2.21992289462184,3,0.649296988868323,1.58474517953545,0.85,7,0.0233333333333333,4,0.0663482661382759,1,0.5,-0.285714285714286,-0.0476190476190477,0.315786391717344,4,2.08546843531737,0,0,0.7853981633975,0.822905178229952
"Australia","AU (B.1.466.2)",-0.0509990599104885,-0.00824175824175824,0.2,0.0131868131868132,1,19,0.148208347557465,-0.0693232593413948,1.59269769500106,4,0.0060232457322229,-0.234264807429541,0.15,2,0.216666666666667,0,0.225550181490775,4,1,-0.142857142857143,0.0476190476190477,0.10686974058862,2,0.518186213050213,0,0,1.570796326795,1.22549294988797
"Australia","AY (B.1.617.2)",0.0606469702403788,-0.00892857142857143,0.4,0.0283068783068783,2,18,0.129738206422097,-0.0921669611233901,1.77048440068781,3,0.019215621788622,-2.67010394009099,0.2,3,0.133333333333333,0,0.203510584991263,1,0.5,0.619047619047619,0,0.159745135037454,2,0.708346577706171,0,0,1.17809724509625,1.26404174114603
"Australia","AY.39",-0.244544774555897,-0.0139896867838044,0.25,0.0234215911965273,1,15,0.0275120433597629,-0.19036594949,1.64879606437361,3,0.019215621788622,-3.96967262079162,0.45,4,0.0766666666666667,0,0.0747105125033556,3,0.5,-0.428571428571429,0.238095238095238,0.138266482450928,4,1.1655244399347,0,0,1.37444678594563,0.626927356920528
"Australia","AY.39.1.2",-0.130881596607778,-0.00255102040816327,0.0238095238095238,0.00113378684807256,0,20,0.240039679259592,0.0109108945117996,1.63061908481708,21,0,-4.81170447970364,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772246,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Australia","AY.39.1.3",0.118765441882231,0.0152575375094801,0.313207547169811,0.139702301273777,3,0,-0.416600850210579,-0.233187997187567,4.79792653123484,11,0.655993280579703,0.0608844541126444,0.85,5,0.166666666666667,3,0.240612737679119,1,0.111111111111111,0.619047619047619,-0.714285714285714,0.600591547999277,4,1.84790080050907,0,0,0.196349540849375,0.587520183983777
"Australia","AY.39.1.4",0.205206305915033,0.00882094102801908,0.107954545454545,0.0455152009018705,2,1,-1.08219918356191,-0.913954404706958,2.31112229316791,3,0.718358502980387,0.482860641498762,0.95,5,0.0740740740740741,0,0.082905468650175,2,0.166666666666667,0.619047619047619,-0.523809523809524,0.347347977623943,4,1.91721551856506,0,0,0.589048622548125,0.967072671741693
"Australia","B.1",0.0456767195199079,0.0290741296518608,0.470967741935484,0.292535295032842,4,0,0.635664256339441,0.418855520806972,2.37833681937971,3,0.434635797136022,0.220158555086526,0.9,7,0.0185185185185185,5,0.170643061053997,2,0.333333333333333,0.761904761904762,-0.857142857142857,0.287040329257909,4,1.95601150271407,0,0,0.7853981633975,0.927235963423353
"Australia","B.1.1.416",0.349396514372669,-0.0285714285714286,0.25,0.0598208794416225,2,11,-0.437820043603451,-0.594988691633098,1.76054626741448,1,0.349466693643101,-1.22438395141008,0.7,3,0.0666666666666667,2,0.133633294880044,3,0.25,0.714285714285714,-0.142857142857143,0.241288318886345,3,1.82519946677294,0,0,0.981747704246875,0.802264598275085
"Australia","B.1.160",-0.152416584626655,-0.0133928571428571,0.125,0.00595238095238095,0,20,0.240039679259592,0.0109108945117996,1.63061908481708,21,0,-4.81170447970363,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772245,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Australia","B.1.2",0.00595428639057944,-0.00118793026192513,0.037037037037037,0.00829911290374348,2,11,-0.405125523114367,-0.568382464456021,1.72437129279118,2,0.203132971810181,-1.05432611642176,0.7,4,0.0733333333333333,3,0.124984485037955,2,0.5,0.428571428571429,-0.0476190476190477,0.193999137163936,3,1.78204715590517,0,0,1.570796326795,1.18517812153142
"Australia","B.1.23",0.298993658921083,0.00471147219743228,0.127906976744186,0.0478794972464483,3,2,-0.911911910640379,-1.07811864465473,3.99283221988152,1,0.665064391041269,-0.137717358064293,0.95,8,0.166666666666667,3,0.103753134223021,5,0.142857142857143,0.428571428571429,-0.619047619047619,0.666104197736282,4,1.91721551856506,0,0,0.39269908169875,0.820307865620786
"Australia","B.1.258",-0.130277466533481,-0.00243506493506494,0.0227272727272727,0.00108225108225108,0,20,0.240039679259592,0.0109108945117996,1.63061908481708,21,0,-4.81170447970364,0.05,1,0.285833333333333,0,0.154428516563958,11,1,-0.904761904761905,0.0952380952380953,0.141604822772246,1,0.198515243345873,0,0,1.570796326795,0.360041149911548
"Australia","B.1.319",-0.235847902347222,0.0056396367746881,0.0598802395209581,0.0288659438320838,2,5,-1.12133226713669,-1.26807997210933,1.61216693188058,1,0.447702335955872,0.0284889520686377,0.95,8,0.0116666666666667,4,0.12954470630029,2,1,-0.428571428571429,0.476190476190476,0.187787303409099,3,2.08546843531737,0,0,1.96349540849375,1.02529341055862
